PPMI_3023,SI264-SI245,PPMI_WES,PPMI_3023^SI264-SI245^PPMI_WES.HWI-ST159^556^AC4HT6ACXX^4,r1.fq.gz,r2.fq.gz,PPMI_3023^SI264-SI245^PPMI_WES
PPMI_3024,SI1144-SI1158,PPMI_WES,PPMI_3024^SI1144-SI1158^PPMI_WES.SN987^185^C4AH9ACXX^4,r1.fq.gz,r2.fq.gz,PPMI_3024^SI1144-SI1158^PPMI_WES
PPMI_3024,SI1144-SI1158,PPMI_WES,PPMI_3024^SI1144-SI1158^PPMI_WES.SN987^185^C4AH9ACXX^5,r1.fq.gz,r2.fq.gz,PPMI_3024^SI1144-SI1158^PPMI_WES
PPMI_3024,SI1144-SI1158,PPMI_WES,PPMI_3024^SI1144-SI1158^PPMI_WES.SN987^185^C4AH9ACXX^6,r1.fq.gz,r2.fq.gz,PPMI_3024^SI1144-SI1158^PPMI_WES
PPMI_3024,SI1396-SI1424,PPMI_WES,PPMI_3024^SI1396-SI1424^PPMI_WES.SN987^195^C4HKRACXX^6,r1.fq.bz2,r2.fq.bz2,PPMI_3024^SI1396-SI1424^PPMI_WES
PPMI_3027,SI299-SI283,PPMI_WES,PPMI_3027^SI299-SI283^PPMI_WES.SN987^200^C4HV0ACXX^1,r1.fq.gz,r2.fq.gz,PPMI_3027^SI299-SI283^PPMI_WES
PPMI_3027,SI299-SI283,PPMI_WES,PPMI_3027^SI299-SI283^PPMI_WES.SN987^200^C4HV0ACXX^2,r1.fq.gz,r2.fq.gz,PPMI_3027^SI299-SI283^PPMI_WES
PPMI_3027,SI299-SI283,PPMI_WES,PPMI_3027^SI299-SI283^PPMI_WES.SN987^200^C4HV0ACXX^3,r1.fq.gz,r2.fq.gz,PPMI_3027^SI299-SI283^PPMI_WES
PPMI_3027,SI299-SI283,PPMI_WES,PPMI_3027^SI299-SI283^PPMI_WES.SN987^200^C4HV0ACXX^4,r1.fq.gz,r2.fq.gz,PPMI_3027^SI299-SI283^PPMI_WES
PPMI_3028,SI302-SI294,PPMI_WES,PPMI_3028^SI302-SI294^PPMI_WES.SN987^200^C4HV0ACXX^1,r1.fq.gz,r2.fq.gz,PPMI_3028^SI302-SI294^PPMI_WES
PPMI_3028,SI302-SI294,PPMI_WES,PPMI_3028^SI302-SI294^PPMI_WES.SN987^200^C4HV0ACXX^2,r1.fq.gz,r2.fq.gz,PPMI_3028^SI302-SI294^PPMI_WES
PPMI_3028,SI302-SI294,PPMI_WES,PPMI_3028^SI302-SI294^PPMI_WES.SN987^200^C4HV0ACXX^3,r1.fq.gz,r2.fq.gz,PPMI_3028^SI302-SI294^PPMI_WES
PPMI_3028,SI302-SI294,PPMI_WES,PPMI_3028^SI302-SI294^PPMI_WES.SN987^200^C4HV0ACXX^4,r1.fq.gz,r2.fq.gz,PPMI_3028^SI302-SI294^PPMI_WES
PPMI_3029,SI365-SI337,PPMI_WES,PPMI_3029^SI365-SI337^PPMI_WES.SN987^196^C4J37ACXX^1,r1.fq.gz,r2.fq.gz,PPMI_3029^SI365-SI337^PPMI_WES
PPMI_3029,SI365-SI337,PPMI_WES,PPMI_3029^SI365-SI337^PPMI_WES.SN987^196^C4J37ACXX^2,r1.fq.gz,r2.fq.gz,PPMI_3029^SI365-SI337^PPMI_WES
PPMI_3029,SI365-SI337,PPMI_WES,PPMI_3029^SI365-SI337^PPMI_WES.SN987^196^C4J37ACXX^3,r1.fq.gz,r2.fq.gz,PPMI_3029^SI365-SI337^PPMI_WES
PPMI_3029,SI365-SI337,PPMI_WES,PPMI_3029^SI365-SI337^PPMI_WES.SN987^196^C4J37ACXX^4,r1.fq.gz,r2.fq.gz,PPMI_3029^SI365-SI337^PPMI_WES
PPMI_3050,SI19-SI17,PPMI_WES,PPMI_3050^SI19-SI17^PPMI_WES.SN987^168^C2NHHACXX^1,r1.fq.gz,r2.fq.gz,PPMI_3050^SI19-SI17^PPMI_WES
PPMI_3050,SI19-SI17,PPMI_WES,PPMI_3050^SI19-SI17^PPMI_WES.SN987^168^C2NHHACXX^2,r1.fq.gz,r2.fq.gz,PPMI_3050^SI19-SI17^PPMI_WES
PPMI_3050,SI19-SI17,PPMI_WES,PPMI_3050^SI19-SI17^PPMI_WES.SN987^168^C2NHHACXX^3,r1.fq.gz,r2.fq.gz,PPMI_3050^SI19-SI17^PPMI_WES
PPMI_3050,SI474-SI471,PPMI_WES,PPMI_3050^SI474-SI471^PPMI_WES.SN159^554^C4VK0ACXX^1,r1.fq.bz2,r2.fq.bz2,PPMI_3050^SI474-SI471^PPMI_WES
PPMI_3050,SI600-SI598,PPMI_WES,PPMI_3050^SI600-SI598^PPMI_WES.HWI-ST987^204^AC5BHJACXX^1,r1.fq.gz,r2.fq.gz,PPMI_3050^SI600-SI598^PPMI_WES
PPMI_3050,SI600-SI598,PPMI_WES,PPMI_3050^SI600-SI598^PPMI_WES.HWI-ST987^204^AC5BHJACXX^2,r1.fq.gz,r2.fq.gz,PPMI_3050^SI600-SI598^PPMI_WES
PPMI_3050,SI600-SI598,PPMI_WES,PPMI_3050^SI600-SI598^PPMI_WES.HWI-ST987^204^AC5BHJACXX^3,r1.fq.gz,r2.fq.gz,PPMI_3050^SI600-SI598^PPMI_WES
PPMI_3050,SI600-SI598,PPMI_WES,PPMI_3050^SI600-SI598^PPMI_WES.HWI-ST987^204^AC5BHJACXX^4,r1.fq.gz,r2.fq.gz,PPMI_3050^SI600-SI598^PPMI_WES
PPMI_3051,SI18-SI33,PPMI_WES,PPMI_3051^SI18-SI33^PPMI_WES.SN987^168^C2NHHACXX^4,r1.fq.gz,r2.fq.gz,PPMI_3051^SI18-SI33^PPMI_WES
PPMI_3051,SI18-SI33,PPMI_WES,PPMI_3051^SI18-SI33^PPMI_WES.SN987^168^C2NHHACXX^5,r1.fq.gz,r2.fq.gz,PPMI_3051^SI18-SI33^PPMI_WES
PPMI_3051,SI18-SI33,PPMI_WES,PPMI_3051^SI18-SI33^PPMI_WES.SN987^168^C2NHHACXX^6,r1.fq.gz,r2.fq.gz,PPMI_3051^SI18-SI33^PPMI_WES
PPMI_3051,SI473-SI541,PPMI_WES,PPMI_3051^SI473-SI541^PPMI_WES.SN159^554^C4VK0ACXX^2,r1.fq.bz2,r2.fq.bz2,PPMI_3051^SI473-SI541^PPMI_WES
PPMI_3052,SI559-SI564,PPMI_WES,PPMI_3052^SI559-SI564^PPMI_WES.SN159^554^C4VK0ACXX^3,r1.fq.bz2,r2.fq.bz2,PPMI_3052^SI559-SI564^PPMI_WES
PPMI_3053,SI534-SI472,PPMI_WES,PPMI_3053^SI534-SI472^PPMI_WES.SN159^554^C4VK0ACXX^3,r1.fq.bz2,r2.fq.bz2,PPMI_3053^SI534-SI472^PPMI_WES
PPMI_3054,SI453-SI505,PPMI_WES,PPMI_3054^SI453-SI505^PPMI_WES.SN159^554^C4VK0ACXX^3,r1.fq.bz2,r2.fq.bz2,PPMI_3054^SI453-SI505^PPMI_WES
PPMI_3055,SI499-SI549,PPMI_WES,PPMI_3055^SI499-SI549^PPMI_WES.SN159^554^C4VK0ACXX^3,r1.fq.bz2,r2.fq.bz2,PPMI_3055^SI499-SI549^PPMI_WES
PPMI_3056,SI506-SI543,PPMI_WES,PPMI_3056^SI506-SI543^PPMI_WES.SN159^554^C4VK0ACXX^5,r1.fq.bz2,r2.fq.bz2,PPMI_3056^SI506-SI543^PPMI_WES
PPMI_3056,SI74-SI88,PPMI_WES,PPMI_3056^SI74-SI88^PPMI_WES.HWI-ST159^526^AC3KFBACXX^1,r1.fq.gz,r2.fq.gz,PPMI_3056^SI74-SI88^PPMI_WES
PPMI_3056,SI74-SI88,PPMI_WES,PPMI_3056^SI74-SI88^PPMI_WES.HWI-ST159^526^AC3KFBACXX^2,r1.fq.gz,r2.fq.gz,PPMI_3056^SI74-SI88^PPMI_WES
PPMI_3056,SI74-SI88,PPMI_WES,PPMI_3056^SI74-SI88^PPMI_WES.HWI-ST159^526^AC3KFBACXX^3,r1.fq.gz,r2.fq.gz,PPMI_3056^SI74-SI88^PPMI_WES
PPMI_3057,SI449-SI511,PPMI_WES,PPMI_3057^SI449-SI511^PPMI_WES.SN159^554^C4VK0ACXX^5,r1.fq.bz2,r2.fq.bz2,PPMI_3057^SI449-SI511^PPMI_WES
PPMI_3057,SI55-SI76,PPMI_WES,PPMI_3057^SI55-SI76^PPMI_WES.HWI-ST159^526^AC3KFBACXX^1,r1.fq.gz,r2.fq.gz,PPMI_3057^SI55-SI76^PPMI_WES
PPMI_3057,SI55-SI76,PPMI_WES,PPMI_3057^SI55-SI76^PPMI_WES.HWI-ST159^526^AC3KFBACXX^2,r1.fq.gz,r2.fq.gz,PPMI_3057^SI55-SI76^PPMI_WES
PPMI_3057,SI55-SI76,PPMI_WES,PPMI_3057^SI55-SI76^PPMI_WES.HWI-ST159^526^AC3KFBACXX^3,r1.fq.gz,r2.fq.gz,PPMI_3057^SI55-SI76^PPMI_WES
PPMI_3058,SI547-SI532,PPMI_WES,PPMI_3058^SI547-SI532^PPMI_WES.SN159^554^C4VK0ACXX^6,r1.fq.bz2,r2.fq.bz2,PPMI_3058^SI547-SI532^PPMI_WES
PPMI_3058,SI89-SI84,PPMI_WES,PPMI_3058^SI89-SI84^PPMI_WES.HWI-ST159^526^AC3KFBACXX^4,r1.fq.gz,r2.fq.gz,PPMI_3058^SI89-SI84^PPMI_WES
PPMI_3058,SI89-SI84,PPMI_WES,PPMI_3058^SI89-SI84^PPMI_WES.HWI-ST159^526^AC3KFBACXX^5,r1.fq.gz,r2.fq.gz,PPMI_3058^SI89-SI84^PPMI_WES
PPMI_3058,SI89-SI84,PPMI_WES,PPMI_3058^SI89-SI84^PPMI_WES.HWI-ST159^526^AC3KFBACXX^6,r1.fq.gz,r2.fq.gz,PPMI_3058^SI89-SI84^PPMI_WES
PPMI_3059,SI510-SI554,PPMI_WES,PPMI_3059^SI510-SI554^PPMI_WES.SN159^554^C4VK0ACXX^6,r1.fq.bz2,r2.fq.bz2,PPMI_3059^SI510-SI554^PPMI_WES
PPMI_3059,SI75-SI94,PPMI_WES,PPMI_3059^SI75-SI94^PPMI_WES.HWI-ST159^526^AC3KFBACXX^4,r1.fq.gz,r2.fq.gz,PPMI_3059^SI75-SI94^PPMI_WES
PPMI_3059,SI75-SI94,PPMI_WES,PPMI_3059^SI75-SI94^PPMI_WES.HWI-ST159^526^AC3KFBACXX^5,r1.fq.gz,r2.fq.gz,PPMI_3059^SI75-SI94^PPMI_WES
PPMI_3059,SI75-SI94,PPMI_WES,PPMI_3059^SI75-SI94^PPMI_WES.HWI-ST159^526^AC3KFBACXX^6,r1.fq.gz,r2.fq.gz,PPMI_3059^SI75-SI94^PPMI_WES
PPMI_3060,SI435-SI479,PPMI_WES,PPMI_3060^SI435-SI479^PPMI_WES.SN159^554^C4VK0ACXX^7,r1.fq.bz2,r2.fq.bz2,PPMI_3060^SI435-SI479^PPMI_WES
PPMI_3060,SI736-SI756,PPMI_WES,PPMI_3060^SI736-SI756^PPMI_WES.HWI-ST159^527^BC3L8BACXX^1,r1.fq.gz,r2.fq.gz,PPMI_3060^SI736-SI756^PPMI_WES
