species	x	y
D_0__Bacteria.D_1__Acidobacteria.D_2__Subgroup.21.D_3__uncultured.soil.bacterium.D_4__uncultured.soil.bacterium.D_5__uncultured.soil.bacterium	-0.940752974759767	0.230549713888388
D_0__Bacteria.D_1__Acidobacteria.D_2__Subgroup.21.__.__.__	-1.42879185472979	0.209595684335327
D_0__Bacteria.D_1__Acidobacteria.D_2__Subgroup.25.D_3__uncultured.bacterium.D_4__uncultured.bacterium.D_5__uncultured.bacterium	-0.509513785828243	0.111636879076968
D_0__Bacteria.D_1__Acidobacteria.D_2__Subgroup.26.__.__.__	-1.70895323774748	0.305652886620398
D_0__Bacteria.D_1__Acidobacteria.D_2__Subgroup.5.D_3__metagenome.D_4__metagenome.D_5__metagenome	1.04572075237833	0.052528870485586
D_0__Bacteria.D_1__Acidobacteria.D_2__Subgroup.5.D_3__uncultured.Acidobacterium.sp..D_4__uncultured.Acidobacterium.sp..D_5__uncultured.Acidobacterium.sp.	0.535025671623317	0.52164473020364
D_0__Bacteria.D_1__Acidobacteria.D_2__Subgroup.5.D_3__uncultured.bacterium.D_4__uncultured.bacterium.D_5__uncultured.bacterium	0.74234530107155	0.552096969872065
D_0__Bacteria.D_1__Acidobacteria.D_2__Subgroup.5.D_3__uncultured.deep.sea.bacterium.D_4__uncultured.deep.sea.bacterium.D_5__uncultured.deep.sea.bacterium	-1.35019529676755	0.11913403614025
D_0__Bacteria.D_1__Acidobacteria.D_2__Subgroup.5.__.__.__	0.315424940234395	0.300793546541855
D_0__Bacteria.D_1__Acidobacteria.D_2__Subgroup.6.D_3__Acidobacteria.bacterium.WX27.D_4__Acidobacteria.bacterium.WX27.D_5__Acidobacteria.bacterium.WX27	-0.869511386510034	0.042175589918011
D_0__Bacteria.D_1__Acidobacteria.D_2__Subgroup.6.D_3__uncultured.proteobacterium.D_4__uncultured.proteobacterium.D_5__uncultured.proteobacterium	0.809672281952438	0.528510318409452
D_0__Bacteria.D_1__Acidobacteria.D_2__Subgroup.6.D_3__unidentified.D_4__unidentified.D_5__unidentified	-0.509513785828242	0.111636879076968
D_0__Bacteria.D_1__Acidobacteria.D_2__Subgroup.6.__.__.__	0.316355143452295	-0.959746337823894
D_0__Bacteria.D_1__Acidobacteria.D_2__Thermoanaerobaculia.D_3__Thermoanaerobaculales.D_4__Thermoanaerobaculaceae.D_5__Subgroup.10	0.15120326353587	0.366324972867408
D_0__Bacteria.D_1__Actinobacteria.D_2__0319.7L14.D_3__uncultured.actinobacterium.D_4__uncultured.actinobacterium.D_5__uncultured.actinobacterium	-0.401152332211312	0.247058164562212
D_0__Bacteria.D_1__Actinobacteria.D_2__0319.7L14.D_3__uncultured.bacterium.D_4__uncultured.bacterium.D_5__uncultured.bacterium	0.402435362155939	0.307805110528819
D_0__Bacteria.D_1__Actinobacteria.D_2__0319.7L14.__.__.__	-0.783854980468424	0.2746636227544
D_0__Bacteria.D_1__Actinobacteria.D_2__Acidimicrobiia.D_3__Acidimicrobiales.D_4__Acidimicrobiaceae.D_5__uncultured	0.958340762146981	0.195492449997977
D_0__Bacteria.D_1__Actinobacteria.D_2__Acidimicrobiia.D_3__Actinomarinales.D_4__uncultured.D_5__uncultured.Actinobacteridae.bacterium	-1.24902928029264	0.036185476725733
D_0__Bacteria.D_1__Actinobacteria.D_2__Acidimicrobiia.D_3__Actinomarinales.D_4__uncultured.D_5__uncultured.Actinomycetales.bacterium	-1.25596737877743	0.146544477599828
D_0__Bacteria.D_1__Actinobacteria.D_2__Acidimicrobiia.D_3__Actinomarinales.D_4__uncultured.D_5__uncultured.bacterium	-0.895840048498438	0.126008320042028
D_0__Bacteria.D_1__Actinobacteria.D_2__Acidimicrobiia.D_3__Actinomarinales.D_4__uncultured.D_5__uncultured.compost.bacterium	-0.142544349924724	-1.62289529330127
D_0__Bacteria.D_1__Actinobacteria.D_2__Acidimicrobiia.D_3__Actinomarinales.D_4__uncultured.D_5__uncultured.soil.bacterium	-1.01724728717263	0.381760881518241
D_0__Bacteria.D_1__Actinobacteria.D_2__Acidimicrobiia.D_3__Actinomarinales.D_4__uncultured.__	-1.23676360612204	0.113218517669698
D_0__Bacteria.D_1__Actinobacteria.D_2__Acidimicrobiia.D_3__Actinomarinales.__.__	-1.18638084401034	0.431917893502009
D_0__Bacteria.D_1__Actinobacteria.D_2__Acidimicrobiia.D_3__IMCC26256.D_4__uncultured.Acidimicrobiales.bacterium.D_5__uncultured.Acidimicrobiales.bacterium	0.686024829847888	0.253908420077347
D_0__Bacteria.D_1__Actinobacteria.D_2__Acidimicrobiia.D_3__IMCC26256.D_4__uncultured.Acidimicrobidae.bacterium.D_5__uncultured.Acidimicrobidae.bacterium	0.976751689538105	0.344553509902993
