k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Melanommataceae;g__Melanodiplodia	34.0	61.75	69.5	98.5	220.0	1.0	2.5	18.5	28.5	145.0	1.0	1.0	1.0	14.25	61.0	1.0	1.0	8.0	56.0	174.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Morosphaeriaceae;g__Acrocalymma	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	4.0	1.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0	3.5	16.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Periconiaceae;g__Periconia	6.0	50.5	65.5	91.5	421.0	1.0	19.25	32.0	86.5	143.0	1.0	14.25	21.0	39.0	111.0	1.0	31.25	94.0	213.75	843.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;__	1.0	1.0	22.5	69.0	254.0	1.0	1.0	14.5	24.75	80.0	1.0	1.0	1.0	25.25	49.0	1.0	1.0	13.0	22.5	80.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Chaetosphaeronema	1.0	1.0	3.5	13.5	247.0	1.0	1.0	1.0	1.0	27.0	1.0	1.0	1.0	1.0	12.0	1.0	1.0	7.0	12.25	39.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Leptospora	1.0	12.5	32.5	61.0	3140.0	1.0	1.0	12.0	16.5	117.0	1.0	4.75	20.5	34.25	78.0	1.0	3.25	8.0	25.0	57.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Neosetophoma	10.0	24.5	75.5	148.5	408.0	1.0	8.75	25.0	57.25	124.0	1.0	20.75	25.5	45.0	104.0	1.0	10.0	35.0	62.5	105.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Ophiosphaerella	1.0	1.0	1.0	1.75	10.0	1.0	1.0	1.0	1.0	8.0	1.0	1.0	1.0	1.0	11.0	1.0	1.0	1.0	4.25	7.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Paraphoma	1.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Phaeosphaeria	1.0	1.0	1.0	14.0	58.0	1.0	1.0	1.0	1.0	35.0	1.0	1.0	1.0	16.25	44.0	1.0	1.0	1.0	1.0	6.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Sclerostagonospora	1.0	1.0	1.0	1.75	14.0	1.0	1.0	1.0	6.75	33.0	1.0	1.0	1.0	5.5	8.0	1.0	4.75	8.0	10.5	193.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Setophoma	1.0	1.0	103.5	284.5	1652.0	1.0	63.25	111.0	232.75	341.0	1.0	45.25	124.0	162.75	517.0	1.0	147.25	203.5	294.75	907.0
